sequence,correct,origname
flex_0,resfindernewid_2573,nimC_1_X76948
flex_1,resfindernewid_2572,nimB_1_X71443
flex_2,resfindernewid_2571,nimA_1_X71444
flex_3,resfindernewid_2570,mph(K)_1_NC_000964
flex_4,resfindernewid_2577,nimF_1_AJ515145
flex_5,resfindernewid_2576,nimE_1_AM042593
flex_6,resfindernewid_2575,nimE_1_AJ244018
flex_7,resfindernewid_2574,nimD_1_X76949
flex_8,resfindernewid_2579,nimI_1_FJ940883
flex_9,resfindernewid_2578,nimH_1_KX576455
flex_10,resfindernewid_2478,lsa(C)_1_HM990671
flex_11,resfindernewid_2371,VanC2XY_2_EU151755
flex_12,resfindernewid_2370,VanC4XY_2_EU151753
flex_13,resfindernewid_2373,VanC2XY_3_EU151757
flex_14,resfindernewid_2372,VanC4XY_3_EU151756
flex_15,resfindernewid_2375,VanC3XY_2_EU151759
flex_16,resfindernewid_2374,VanC2XY_4_EU151758
flex_17,resfindernewid_2377,VanHDX_6_DQ172830
flex_18,resfindernewid_2376,VanC2XY_5_EU151760
flex_19,resfindernewid_2379,VanHDX_3_AF175293
flex_20,resfindernewid_2378,VanHDX_7_AB242319
flex_21,resfindernewid_2853,tet(40)_2_AM419751
flex_22,resfindernewid_2591,optrA_7_KT862775
flex_23,resfindernewid_1884,blaVIM-39_1_KF131539
flex_24,resfindernewid_1479,blaB-3_2_AF189299
flex_25,resfindernewid_1478,blaB-3_1_AF189301
flex_26,resfindernewid_1473,ampS_1_X80276
flex_27,resfindernewid_1472,blaZEG-1_1_AY265891
flex_28,resfindernewid_1471,blaTRU_1_EU046614
flex_29,resfindernewid_1470,blaCMG_1_AY265892
flex_30,resfindernewid_1477,blaB-2_1_AF189300
flex_31,resfindernewid_1476,blaA_2_AY954728
flex_32,resfindernewid_1475,blaA_1_DQ424965
flex_33,resfindernewid_1474,blaADC-25_1_EF016355
flex_34,resfindernewid_1279,blaTEM-6_1_X57972
flex_35,resfindernewid_1278,blaTEM-3_1_X64523
flex_36,resfindernewid_1909,blaIMP-61_1_KX462700
flex_37,resfindernewid_1908,blaIMP-62_1_KX753224
flex_38,resfindernewid_1271,blaSHV-179_1_KF705208
flex_39,resfindernewid_1270,blaSHV-178_1_KF705209
